CN:397 04/06/2022 09:28:22 Q:-1 ID:B000461-FT Fixture:
CN:397 04/06/2022 10:05:31 Q:-1 ID:B000160-FT Fixture:
CN:397 06/06/2022 09:13:50 Q:-1 ID:VALIDACAO Fixture:
CN:397 06/06/2022 09:13:53 Q:-1 ID:VALIDACAO Fixture:
CN:397 09/06/2022 18:23:39 Q:-1 ID:B000253-FT Fixture:
CN:397 09/06/2022 22:08:28 Q:-1 ID:B000377-FT Fixture:
CN:397 09/06/2022 23:09:13 Q:-1 ID:B000349-FT Fixture:
CN:397 10/06/2022 00:51:10 Q:-1 ID:B000377-FT Fixture:
CN:397 10/06/2022 08:57:48 Q:-1 ID:B000320-FT Fixture:
CN:397 10/06/2022 16:07:42 Q:-1 ID:B000200-FT Fixture:
CN:397 10/06/2022 23:40:23 Q:-1 ID:B000377-FT Fixture:
CN:397 11/06/2022 06:28:12 Q:-1 ID:B000320-FT Fixture:
CN:397 11/06/2022 13:58:18 Q:-1 ID:B000466-FT Fixture:
CN:397 11/06/2022 15:57:19 Q:-1 ID:B000200-FT Fixture:
CN:397 11/06/2022 17:45:37 Q:-1 ID:B000349-FT Fixture:
CN:397 11/06/2022 17:54:00 Q:-1 ID:B000200-FT Fixture:
CN:397 11/06/2022 20:11:59 Q:-2 ID:B000369-FT Fixture:
CN:397 11/06/2022 22:04:34 Q:-1 ID:B000369-FT Fixture:
CN:397 11/06/2022 22:06:52 Q:-1 ID:B000377-FT Fixture:
CN:397 13/06/2022 09:25:01 Q:-1 ID:B000371-FT Fixture:
CN:397 13/06/2022 15:56:19 Q:-1 ID:B000200-FT Fixture:
CN:397 13/06/2022 17:44:24 Q:-1 ID:B000349-FT Fixture:
CN:397 14/06/2022 01:03:28 Q:-4 ID:B000349-FT Fixture:
CN:397 14/06/2022 06:00:41 Q:-1 ID:B000504-FT Fixture:
CN:397 14/06/2022 06:00:47 Q:-1 ID:B000370-FT Fixture:
CN:397 14/06/2022 06:20:24 Q:-1 ID: Fixture: OUT
CN:397 14/06/2022 09:27:05 Q:-1 ID:B000200-FT Fixture:
CN:397 14/06/2022 16:00:17 Q:-1 ID:B000200-FT Fixture:
CN:397 17/06/2022 08:07:49 Q:3 ID: Fixture: IN
CN:397 17/06/2022 18:40:36 Q:-3 ID:B000377-FT Fixture:
CN:397 16/07/2022 11:20:31 Q:400 ID:REPOSIÇÃOESTOQUE Fixture:
CN:397 22/07/2022 22:58:00 Q:-1 ID:B000377-FT Fixture:
CN:397 22/07/2022 22:58:06 Q:-1 ID:B000377-FT Fixture:
CN:397 25/07/2022 01:10:07 Q:-1 ID: Fixture: OUT
CN:397 25/07/2022 02:22:10 Q:-2 ID:B000488-FT Fixture:
CN:397 25/07/2022 16:35:32 Q:-1 ID: Fixture: OUT
CN:397 25/07/2022 19:08:39 Q:-1 ID:B000414-FT Fixture:
CN:397 25/07/2022 19:19:50 Q:-1 ID:B000369-FT Fixture:
CN:397 25/07/2022 23:27:49 Q:-1 ID:B000465-FT Fixture:
CN:397 26/07/2022 02:06:54 Q:-1 ID:B000637-FT Fixture:
CN:397 26/07/2022 02:40:33 Q:-1 ID:B000637-FT Fixture:
CN:397 26/07/2022 05:02:42 Q:-1 ID:B000648-FT Fixture:
CN:397 26/07/2022 05:51:19 Q:-1 ID:B000647-FT Fixture:
CN:397 27/07/2022 00:09:41 Q:-1 ID:B000414-FT Fixture:
CN:397 27/07/2022 00:09:44 Q:-1 ID:B000414-FT Fixture:
CN:397 27/07/2022 00:09:45 Q:-1 ID:B000414-FT Fixture:
CN:397 28/07/2022 00:03:39 Q:-1 ID:B000465-FT Fixture:
CN:397 28/07/2022 01:13:12 Q:-1 ID:B000377-FT Fixture:STONIC
CN:397 28/07/2022 02:12:24 Q:-1 ID:B000369-FT Fixture:STONIC
CN:397 28/07/2022 16:23:58 Q:-1 ID: Fixture: OUT
CN:397 29/07/2022 01:39:30 Q:-1 ID:B000349-FT Fixture:STONIC
CN:397 29/07/2022 01:43:30 Q:-1 ID:B000637-FT Fixture:STONIC
CN:397 29/07/2022 23:07:57 Q:-1 ID:B000414-FT Fixture:
